paper,article_types,new_id,pm_central_id,abstract,value,hypothesis_sentence,hypothesis_entities,clean_hypothesis_entities,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,entity_7,entity_8,entity_9,entity_10,entity_11,entity_12,entity_13,entity_14,entity_15,entity_16,entity_17,entity_18,entity_19,entity_20,entity_21,entity_22,entity_23,entity_24,entity_25,entity_26,entity_27,entity_28,entity_29,entity_30
http://ns.inria.fr/covid19/8be0c5efd39e687ea65f09fe31813f108af70663,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC4424968#Hypothesis,PMC4424968,http://ns.inria.fr/covid19/8be0c5efd39e687ea65f09fe31813f108af70663#abstract,"Methods for translating gene expression signatures into clinically relevant information have typically relied upon having many samples from patients with similar molecular phenotypes. Here, we address the question of what can be done when it is relatively easy to obtain healthy patient samples, but when abnormalities corresponding to disease states may be rare and one-of-a-kind. The associated computational challenge, anomaly detection, is a well-studied machine-learning problem. However, due to the dimensionality and variability of expression data, existing methods based on feature space analysis or individual anomalously expressed genes are insufficient. We present a novel approach, CSAX, that identifies pathways in an individual sample in which the normal expression relationships are disrupted. To evaluate our approach, we have compiled and released a compendium of public expression data sets, reformulated to create a test bed for anomaly detection. We demonstrate the accuracy of CSAX on the data sets in our compendium, compare it to other leading methods, and show that CSAX aids in both identifying anomalies and explaining their underlying biology. We describe an approach to characterizing the difficulty of specific expression anomaly detection tasks. We then illustrate CSAX's value in two developmental case studies. Confirming prior hypotheses, CSAX highlights disruption of platelet activation pathways in a neonate with retinopathy of prematurity and identifies, for the first time, dysregulated oxidative stress response in second trimester amniotic fluid of fetuses with obese mothers. Our approach provides an important step toward identification of individual disease patterns in the era of precision medicine.","Confirming prior hypotheses, CSAX highlights disruption of platelet activation pathways in a neonate with retinopathy of prematurity and identifies, for the first time, dysregulated oxidative stress response in second trimester amniotic fluid of fetuses with obese mothers.","['Confirming prior_hypotheses', 'CSAX highlights disruption', 'platelet_activation_pathways', 'a_neonate', 'retinopathy', 'prematurity', 'identifies', 'the_first_time', 'oxidative_stress_response', 'second_trimester_amniotic_fluid', 'fetuses', 'obese_mothers']","['Confirming prior hypotheses', 'CSAX highlights disruption', 'platelet activation pathways', 'a neonate', 'retinopathy', 'prematurity', 'identifies', 'the first time', 'oxidative stress response', 'second trimester amniotic fluid', 'fetuses', 'obese mothers']",Confirming prior hypotheses,CSAX highlights disruption,platelet activation pathways,a neonate,retinopathy,prematurity,identifies,the first time,oxidative stress response,second trimester amniotic fluid,fetuses,obese mothers,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/1a114132f3004afd9775e844cddbaa82615c3fa5,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/1a114132f3004afd9775e844cddbaa82615c3fa5#Hypothesis,,http://ns.inria.fr/covid19/1a114132f3004afd9775e844cddbaa82615c3fa5#abstract,"Summary Much controversy still exists about the role of viruses, bacteria and fungi in nasal sinus diseases. Viral rhinitis alone does not seem to be able to elicit clinical acute sinusitis. Bacteria determine the clinical picture and outcome of sinusitis. S. pneumoniae, H. influenzae and M. catarrhalis are the bacteria most frequently involved. Much more conflicting reports are published about normal sinus flora, the role of anaerobes and the microbiology of chronic sinusitis. The relationship between infectious and allergic diseases ise more difficult to explain. It is shown that, in particular viruses can induce the release of inflammatory mediators and modify the inflammatory process. Their role in epithelial damage, excitation of nerve fibers, sensitization of inflammatory cells, and therefore, in general hyperreactivity has also been reported. Finally, with regard to sinusitis, different hypothesis have been proposed to explain the possible links with bronchial hyperreactivity.","Finally, with regard to sinusitis, different hypothesis have been proposed to explain the possible links with bronchial hyperreactivity.","['regard', 'sinusitis', 'different_hypothesis', 'the_possible_links', 'bronchial_hyperreactivity']","['regard', 'sinusitis', 'different hypothesis', 'the possible links', 'bronchial hyperreactivity']",regard,sinusitis,different hypothesis,the possible links,bronchial hyperreactivity,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/d964ce1c8dd79290032b1b70d511f256b805e558,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC3953438#Hypothesis,PMC3953438,http://ns.inria.fr/covid19/d964ce1c8dd79290032b1b70d511f256b805e558#abstract,"The majority of recently emerging infectious diseases in humans is due to cross-species pathogen transmissions from animals. To establish a productive infection in new host species, viruses must overcome barriers to replication mediated by diverse and rapidly evolving host restriction factors such as protein kinase R (PKR). Many viral antagonists of these restriction factors are species specific. For example, the rhesus cytomegalovirus PKR antagonist, RhTRS1, inhibits PKR in some African green monkey (AGM) cells, but does not inhibit human or rhesus macaque PKR. To model the evolutionary changes necessary for cross-species transmission, we generated a recombinant vaccinia virus that expresses RhTRS1 in a strain that lacks PKR inhibitors E3L and K3L (VVΔEΔK+RhTRS1). Serially passaging VVΔEΔK+RhTRS1 in minimally-permissive AGM cells increased viral replication 10- to 100-fold. Notably, adaptation in these AGM cells also improved virus replication 1000- to 10,000-fold in human and rhesus cells. Genetic analyses including deep sequencing revealed amplification of the rhtrs1 locus in the adapted viruses. Supplying additional rhtrs1 in trans confirmed that amplification alone was sufficient to improve VVΔEΔK+RhTRS1 replication. Viruses with amplified rhtrs1 completely blocked AGM PKR, but only partially blocked human PKR, consistent with the replication properties of these viruses in AGM and human cells. Finally, in contrast to AGM-adapted viruses, which could be serially propagated in human cells, VVΔEΔK+RhTRS1 yielded no progeny virus after only three passages in human cells. Thus, rhtrs1 amplification in a minimally permissive intermediate host was a necessary step, enabling expansion of the virus range to previously nonpermissive hosts. These data support the hypothesis that amplification of a weak viral antagonist may be a general evolutionary mechanism to permit replication in otherwise resistant host species, providing a molecular foothold that could enable further adaptations necessary for efficient replication in the new host.","These data support the hypothesis that amplification of a weak viral antagonist may be a general evolutionary mechanism to permit replication in otherwise resistant host species, providing a molecular foothold that could enable further adaptations necessary for efficient replication in the new host.","['These_data', 'support', 'the_hypothesis', 'that amplification', 'a_weak_viral_antagonist', 'replication', 'otherwise_resistant_host_species', 'a_molecular_foothold', 'further_adaptations', 'efficient_replication', 'the_new_host']","['These data', 'support', 'the hypothesis', 'that amplification', 'a weak viral antagonist', 'replication', 'otherwise resistant host species', 'a molecular foothold', 'further adaptations', 'efficient replication', 'the new host']",These data,support,the hypothesis,that amplification,a weak viral antagonist,replication,otherwise resistant host species,a molecular foothold,further adaptations,efficient replication,the new host,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/PMC4080284,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC4080284#Hypothesis,PMC4080284,http://ns.inria.fr/covid19/PMC4080284#abstract,"There are 190,600 cases of acute lung injury/acute respiratory distress syndrome (ALI/ARDS) each year in the United States, and the incidence and mortality of ALI/ARDS increase dramatically with age. Patients with ALI/ARDS have alveolar epithelial injury, which may be worsened by high-pressure mechanical ventilation. Alveolar type II (ATII) cells are the progenitor cells for the alveolar epithelium and are required to reestablish the alveolar epithelium during the recovery process from ALI/ARDS. Lung fibroblasts (FBs) migrate and proliferate early after lung injury and likely are an important source of growth factors for epithelial repair. However, how lung FBs affect epithelial wound healing in the human adult lung has not been investigated in detail. Hepatocyte growth factor (HGF) is known to be released mainly from FBs and to stimulate both migration and proliferation of primary rat ATII cells. HGF is also increased in lung tissue, bronchoalveolar lavage fluid, and serum in patients with ALI/ARDS. Therefore, we hypothesized that HGF secreted by FBs would enhance wound closure in alveolar epithelial cells (AECs). Wound closure was measured using a scratch wound-healing assay in primary human AEC monolayers and in a coculture system with FBs. We found that wound closure was accelerated by FBs mainly through HGF/c-Met signaling. HGF also restored impaired wound healing in AECs from the elderly subjects and after exposure to cyclic stretch. We conclude that HGF is the critical factor released from FBs to close wounds in human AEC monolayers and suggest that HGF is a potential strategy for hastening alveolar repair in patients with ALI/ARDS.","Therefore, we hypothesized that HGF secreted by FBs would enhance wound closure in alveolar epithelial cells (AECs).","['HGF', 'FBs', 'alveolar_epithelial_cells', '( AECs']","['HGF', 'FBs', 'alveolar epithelial cells', '( AECs']",HGF,FBs,alveolar epithelial cells,( AECs,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/bf0c3f90978f7e4794dfe1dd2d90ddb592fc6549,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC3407222#Hypothesis,PMC3407222,http://ns.inria.fr/covid19/bf0c3f90978f7e4794dfe1dd2d90ddb592fc6549#abstract,"PrP(Sc) is believed to serve as a template for the conversion of PrP(C) to the abnormal isoform. This process requires contact between the two proteins and implies that there may be critical contact sites that are important for conversion. We hypothesized that antibodies binding to either PrP(c)or PrP(Sc) would hinder or prevent the formation of the PrP(C)–PrP(Sc) complex and thus slow down or prevent the conversion process. Two systems were used to analyze the effect of different antibodies on PrP(Sc) formation: (i) neuroblastoma cells persistently infected with the 22L mouse-adapted scrapie stain, and (ii) protein misfolding cyclic amplification (PMCA), which uses PrP(Sc) as a template or seed, and a series of incubations and sonications, to convert PrP(C) to PrP(Sc). The two systems yielded similar results, in most cases, and demonstrate that PrP-specific monoclonal antibodies (Mabs) vary in their ability to inhibit the PrP(C)–PrP(Sc) conversion process. Based on the numerous and varied Mabs analyzed, the inhibitory effect does not appear to be epitope specific, related to PrP(C) conformation, or to cell membrane localization, but is influenced by the targeted PrP region (amino vs carboxy).",We hypothesized that antibodies binding to either PrP(c)or PrP(Sc) would hinder or prevent the formation of the PrP(C)–PrP(Sc) complex and thus slow down or prevent the conversion process.,"['antibodies', 'either_PrP(c)or', 'PrP(Sc', 'the_formation', 'the_PrP(C)–PrP(Sc)_complex', 'the_conversion_process']","['antibodies', 'either PrP(c)or', 'PrP(Sc', 'the formation', 'the PrP(C)–PrP(Sc) complex', 'the conversion process']",antibodies,either PrP(c)or,PrP(Sc,the formation,the PrP(C)–PrP(Sc) complex,the conversion process,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/61ab8b92a20e33291536d1b0ef49ca4657cd4b43,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC5855786#Hypothesis,PMC5855786,http://ns.inria.fr/covid19/61ab8b92a20e33291536d1b0ef49ca4657cd4b43#abstract,"The historical role of mitochondria resides in converting the energy released during the oxidation of macromolecules (carbohydrates, lipids and proteins) into adenosine tri-phosphate, a major form of chemically stored energy which sustains cell growth and homeostasis. Beyond this role in bioenergetics regulation, mitochondria play a role in several other cellular processes including lipid metabolism, cellular calcium homeostasis, autophagy and immune responses. Furthermore, mitochondria are highly dynamic organelles: as all other cellular endomembranes, they are continuously moving along cytoskeleton, and, most importantly, they constantly interact one with each other by membrane tethering, fusion and fission. This review aims to highlight the tight correlation between the morphodynamics of mitochondria and their biological function(s), in physiological as well as stress conditions, in particular nutrient deprivation, pathogen attack and some human diseases. Finally, we emphasize some crosstalk between the fusion/fission machinery and the autophagy pathway to ending on some speculative hypothesis to inspire future research in the field.","Finally, we emphasize some crosstalk between the fusion/fission machinery and the autophagy pathway to ending on some speculative hypothesis to inspire future research in the field.","['some_crosstalk', 'the_fusion/fission_machinery', 'the_autophagy_pathway', 'future_research', 'the_field']","['some crosstalk', 'the fusion/fission machinery', 'the autophagy pathway', 'future research', 'the field']",some crosstalk,the fusion/fission machinery,the autophagy pathway,future research,the field,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/cdb41adab7501ef08fbc8f854528b45525bb47d0,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC2676688#Hypothesis,PMC2676688,http://ns.inria.fr/covid19/cdb41adab7501ef08fbc8f854528b45525bb47d0#abstract,"Abstract Diabetes mellitus is a growing problem in all parts of the world. Both clinical trials and animal models of type I and type II diabetes have shown that hyperactivity of angiotensin-II (Ang-II) signaling pathways contribute to the development of diabetes and diabetic complications. Of clinical relevance, blockade of the renin–angiotensin system prevents new-onset diabetes and reduces the risk of diabetic complications. Angiotensin-converting enzyme (ACE) 2 is a recently discovered mono-carboxypeptidase and the first homolog of ACE. It is thought to inhibit Ang-II signaling cascades mostly by cleaving Ang-II to generate Ang-(1–7), which effects oppose Ang-II and are mediated by the Mas receptor. The enzyme is present in the kidney, liver, adipose tissue and pancreas. Its expression is elevated in the endocrine pancreas in diabetes and in the early phase during diabetic nephropathy. ACE2 is hypothesized to act in a compensatory manner in both diabetes and diabetic nephropathy. Recently, we have shown the presence of the Mas receptor in the mouse pancreas and observed a reduction in Mas receptor immuno-reactivity as well as higher fasting blood glucose levels in ACE2 knockout mice, indicating that these mice may be a new model to study the role of ACE2 in diabetes. In this review we will examine the role of the renin–angiotensin system in the physiopathology and treatment of diabetes and highlight the potential benefits of the ACE2/Ang-(1–7)/Mas receptor axis, focusing on recent data about ACE2.",ACE2 is hypothesized to act in a compensatory manner in both diabetes and diabetic nephropathy.,"['ACE2', 'a_compensatory_manner', 'both_diabetes', 'diabetic_nephropathy']","['ACE2', 'a compensatory manner', 'both diabetes', 'diabetic nephropathy']",ACE2,a compensatory manner,both diabetes,diabetic nephropathy,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/PMC4524051,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC4524051#Hypothesis,PMC4524051,http://ns.inria.fr/covid19/PMC4524051#abstract,"Viral drug resistance is believed to be less likely to occur if compounds are directed against cellular rather than viral proteins. In this study, we analyzed the feasibility of a crucial viral replication factor, namely, importin-α7, as a cellular drug target to combat pandemic influenza viruses. Surprisingly, only five viral lung-to-lung passages were required to achieve 100% lethality in importin-α7(−/−) mice that otherwise are resistant. Viral escape from importin-α7 requirement was mediated by five mutations in the viral ribonucleoprotein complex and the surface glycoproteins. Moreover, the importin-α7(−/−) mouse-adapted strain became even more virulent for wild-type mice than the parental strain. These studies show that targeting host proteins may still result in viral escape by alternative pathways, eventually giving rise to even more virulent virus strains. Thus, therapeutic intervention strategies should consider a multitarget approach to reduce viral drug resistance. IMPORTANCE Here, we investigated the long-standing hypothesis based on in vitro studies that viral drug resistance occurrence is less likely if compounds are directed against cellular rather than viral proteins. Here, we challenged this hypothesis by analyzing, in an in vivo animal model, the feasibility of targeting the cellular factor importin-α7, which is crucial for human influenza virus replication and pathogenesis, as an efficient antiviral strategy against pandemic influenza viruses. In summary, our studies suggest that resistance against cellular factors is possible in vivo, and the emergence of even more virulent viral escape variants calls for particular caution. Thus, therapeutic intervention strategies should consider a multitarget approach using compounds against viral as well as cellular factors to reduce the risk of viral drug resistance and potentially increased virulence.","Here, we investigated the long-standing hypothesis based on in vitro studies that viral drug resistance occurrence is less likely if compounds are directed against cellular rather than viral proteins.","['the_long-standing_hypothesis', 'vitro_studies', 'viral_drug_resistance_occurrence', 'compounds', 'viral_proteins']","['the long-standing hypothesis', 'vitro studies', 'viral drug resistance occurrence', 'compounds', 'viral proteins']",the long-standing hypothesis,vitro studies,viral drug resistance occurrence,compounds,viral proteins,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/PMC5551405,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC5551405#Hypothesis,PMC5551405,http://ns.inria.fr/covid19/PMC5551405#abstract,"BACKGROUND: Determining the efficacy of human vaccines that induce antigen-specific protective CD4 T cell responses against pathogens can be particularly challenging to evaluate. Surface expression of CD11a and CD49d has been shown to identify antigen-specific CD4 T cells against viral pathogens in mice. We hypothesized that CD11a and CD49d would also serve as markers of human antigen-specific T cells responding to vaccination. METHODS: A phase I vaccine trial enabled us to evaluate a novel gating strategy based on surface expression of CD11a and CD49d as a means of detecting antigen-specific, cytokine producing CD4 and CD8 T cells induced after vaccination of naïve individuals against leishmaniasis. Three study groups received LEISH-F3 recombinant protein combined with either squalene oil-in-water emulsion (SE) alone, SE with the synthetic TLR-4 ligand glucopyranosyl lipid adjuvant (GLA-SE), or SE with Salmonella minnesota-derived monophosphoryl lipid A (MPL-SE). Individuals were given 3 vaccine doses, on days 0, 28 and 168. RESULTS: Starting after the first vaccine dose, the frequency of both CD11a(hi)CD49d(+) CD4 and CD11a(hi)CD49d(+) CD8 T cells significantly increased over time throughout the 24-week trial. To confirm the role of CD11a(hi)CD49d(+) expression in the identification of the antigen-specific T cells, cytokine production was measured following LEISH-F3 stimulation. All of the IFN-γ, TNF-α, and IL-2 producing cells were found within the CD11a(hi)CD49d(+) population. CONCLUSIONS: Our results suggest that the change in the frequency of CD11a(hi)CD49d(+) T cells can be used to track antigen-specific CD4 and CD8 T cell responses following T cell-targeted vaccination.",We hypothesized that CD11a and CD49d would also serve as markers of human antigen-specific T cells responding to vaccination.,"['CD11a', 'CD49d', 'markers', 'human_antigen-specific_T_cells', 'vaccination']","['CD11a', 'CD49d', 'markers', 'human antigen-specific T cells', 'vaccination']",CD11a,CD49d,markers,human antigen-specific T cells,vaccination,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/PMC6075461,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC6075461#Hypothesis,PMC6075461,http://ns.inria.fr/covid19/PMC6075461#abstract,"AIMS: The chronic consumption of alcohol is known to result in neurodegeneration and impairment of cognitive function. Pathological and neuroimaging studies have confirmed that brain atrophy in alcoholics is mainly due to widespread white matter (WM) loss with neuronal loss restricted to specific regions, such as the prefrontal cortex. Neuroimaging studies of cigarette smokers also suggest that chronic inhalation of tobacco smoke leads to brain atrophy, although the neurotoxic component is unknown. As a high proportion of chronic alcoholics also smoke cigarettes it has been hypothesized that at least some alcohol-related brain damage is due to tobacco smoke exposure. METHODS: 39 Long Evans rats were subjected to 8 weeks exposure to alcohol and/or 5 weeks co-exposure to nicotine-specific nitrosamine ketone (NNK), a proxy for tobacco smoke. Their frontal WM was then assayed with transmission electron microscopy. RESULTS: NNK and ethanol co-exposure had a synergistic effect in decreasing myelinated fibre density. Furthermore, NNK treatment led to a greater reduction in myelin sheath thickness than ethanol whereas only the ethanol-treated animals showed a decrease in unmyelinated fibre density. CONCLUSION: These data suggest that NNK causes WM degeneration, an effect that is exacerbated by alcohol, but unlike alcohol, it has little impact on the neuronal components of the brain.",it has been hypothesized that at least some alcohol-related brain damage is due to tobacco smoke exposure.,"['at_least_some_alcohol-related_brain_damage', 'tobacco_smoke_exposure']","['at least some alcohol-related brain damage', 'tobacco smoke exposure']",at least some alcohol-related brain damage,tobacco smoke exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/b1c01e51053266154ff1cf59628c2cb92a8184ba,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC6525170#Hypothesis,PMC6525170,http://ns.inria.fr/covid19/b1c01e51053266154ff1cf59628c2cb92a8184ba#abstract,"RSV infection is typically associated with secondary bacterial infection. We hypothesise that the local airway immune response to RSV has incidental antibacterial effects. Using coordinated proteomics and metagenomics analysis we simultaneously analysed the microbiota and proteomes of the upper airway and determined direct antibacterial activity in airway secretions of RSV-infected children. Here, we report that the airway abundance of Streptococcus was higher in samples collected at the time of RSV infection compared with samples collected one month later. RSV infection is associated with neutrophil influx into the airway and degranulation and is marked by overexpression of proteins with known antibacterial activity including BPI, EPX, MPO and AZU1. Airway secretions of children infected with RSV, have significantly greater antibacterial activity compared to RSV-negative controls. This RSV-associated, neutrophil-mediated antibacterial response in the airway appears to act as a regulatory mechanism that modulates bacterial growth in the airways of RSV-infected children.",We hypothesise that the local airway immune response to RSV has incidental antibacterial effects.,"['the_local_airway_immune_response', 'RSV', 'incidental_antibacterial_effects']","['the local airway immune response', 'RSV', 'incidental antibacterial effects']",the local airway immune response,RSV,incidental antibacterial effects,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/6b5cfb3d80348abb27ae344ff7e040cd88662161,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC7088701#Hypothesis,PMC7088701,http://ns.inria.fr/covid19/6b5cfb3d80348abb27ae344ff7e040cd88662161#abstract,"Otitis media (OM) imposes significant morbidity on the pediatric age group and a large financial burden on the general population. Because standard medical treatments are not highly efficacious in resolving the accompanying middle ear (ME) inflammation, a goal of current research is OM prevention. Past studies show that new episodes of OM are usually a complication of viral upper respiratory infection (vURI), and therefore, a rational approach to achieving that goal is to develop intervention strategies that target vURIassociated OM. However, past experiences with antibiotics show that, in the absence of well-defined treatment protocols that maximize expected efficacy, the adoption of prophylactic or active treatments for OM can have negative consequences for the patient and for the general population. In this review, we discuss the hypothesized mechanisms by which a vURI is translated into an acute OM episode and describe different strategies for aborting that process. Limitations to deployment of each strategy are outlined.","In this review, we discuss the hypothesized mechanisms by which a vURI is translated into an acute OM episode and describe different strategies for aborting that process.","['this_review', 'the_hypothesized_mechanisms', 'a_vURI', 'an_acute_OM_episode', 'different_strategies', 'that_process']","['this review', 'the hypothesized mechanisms', 'a vURI', 'an acute OM episode', 'different strategies', 'that process']",this review,the hypothesized mechanisms,a vURI,an acute OM episode,different strategies,that process,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/ad534a108cbc512e3b48b4786649cc595df7fa08,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/ad534a108cbc512e3b48b4786649cc595df7fa08#Hypothesis,,http://ns.inria.fr/covid19/ad534a108cbc512e3b48b4786649cc595df7fa08#abstract,"Abstract In any phytochemical drug discovery programme, one of the major issues is the appropriate selection of target plant species that may provide lead for new drug discovery and development. Conducting research without any working hypotheses may produce serendipitous discoveries, but the chances of success are much slimmer than any information-based targeted approach. Therefore, the plant selection process is extremely important for ensuring success. In recent years, there have been significant amounts of work involving applications of various mathematical modelling and computational techniques to predict medicinal properties of plants, and thus to provide information-based selection of plant materials for further studies aiming at potential drug discovery and development. This chapter presents an overview of methods and processes involved in plant selection by utilizing various mathematical modelling and computational techniques.","Conducting research without any working hypotheses may produce serendipitous discoveries, but the chances of success are much slimmer than any information-based targeted approach.","['research', 'any_working_hypotheses', 'serendipitous_discoveries', 'the_chances', 'success']","['research', 'any working hypotheses', 'serendipitous discoveries', 'the chances', 'success']",research,any working hypotheses,serendipitous discoveries,the chances,success,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/02480623218229a12cdbc4800defc262f7cc175c,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC6829363#Hypothesis,PMC6829363,http://ns.inria.fr/covid19/02480623218229a12cdbc4800defc262f7cc175c#abstract,"Extravillous trophoblasts (EVT) migration into the decidua is critical for establishing placental perfusion and when dysregulated, may lead to pre-eclampsia (PE) and intrauterine growth restriction (IUGR). The breast cancer resistance protein (BCRP; encoded by ABCG2) regulates the fusion of cytotrophoblasts into syncytiotrophoblasts and protects the fetus from maternally derived xenobiotics. Information about BCRP function in EVTs is limited, however placental exposure to bacterial/viral infection leads to BCRP downregulation in syncitiotrophoblasts. We hypothesized that BCRP is involved in the regulation of EVT function and is modulated by infection/inflammation. We report that besides syncitiotrophoblasts and cytotrophoblasts, BCRP is also expressed in EVTs. BCRP inhibits EVT cell migration in HTR8/SVneo (human EVT-like) cells and in human EVT explant cultures, while not affecting cell proliferation. We have also shown that bacterial—lipopolysaccharide (LPS)—and viral antigens—single stranded RNA (ssRNA)—have a profound effect in downregulating ABCG2 and BCRP levels, whilst simultaneously increasing the migration potential of EVT-like cells. Our study reports a novel function of BCRP in early placentation and suggests that exposure of EVTs to maternal infection/inflammation could disrupt their migration potential via the downregulation of BCRP. This could negatively influence placental development/function, contribute to existing obstetric pathologies, and negatively impact pregnancy outcomes and maternal/neonatal health.",We hypothesized that BCRP is involved in the regulation of EVT function and is modulated by infection/inflammation.,"['BCRP', 'the_regulation', 'EVT_function', 'infection/inflammation']","['BCRP', 'the regulation', 'EVT function', 'infection/inflammation']",BCRP,the regulation,EVT function,infection/inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,
