object,pattern_match,merged_noun_chunks,merged_sent,keywords
"Assembly of virus capsids and surface proteins must be regulated to ensure that the resulting complex is an infectious virion. In this review, we examine assembly of virus capsids, focusing on hepatitis B virus and bacteriophage MS2, and formation of glycoproteins in the alphaviruses. These systems are structurally and biochemically well-characterized and are simplest-case paradigms of self-assembly. Published data suggest that capsid and glycoprotein assembly is subject to allosteric regulation, that is regulation at the level of conformational change. The hypothesis that allostery is a common theme in viruses suggests that deregulation of capsid and glycoprotein assembly by small molecule effectors will be an attractive antiviral strategy, as has been demonstrated with hepatitis B virus.","The hypothesis that allostery is a common theme in viruses suggests that deregulation of capsid and glycoprotein assembly by small molecule effectors will be an attractive antiviral strategy, as has been demonstrated with hepatitis B virus.","['The_hypothesis', 'that', 'allostery', 'is', 'a_common_theme', 'in', 'viruses', 'suggests', 'that', 'deregulation', 'of', 'capsid_and_glycoprotein_assembly', 'by', 'small_molecule_effectors', 'will', 'be', 'an_attractive_antiviral_strategy', ',', 'as', 'has', 'been', 'demonstrated', 'with', 'hepatitis_B_virus', '.']","The_hypothesis that allostery is a_common_theme in viruses suggests that deregulation of capsid_and_glycoprotein_assembly by small_molecule_effectors will be an_attractive_antiviral_strategy , as has been demonstrated with hepatitis_B_virus .","['The_hypothesis', 'allostery', 'a_common_theme', 'viruses', 'deregulation', 'small_molecule_effectors', 'hepatitis_B_virus']"
"BACKGROUND: Practice of meditation or exercise may enhance health to protect against acute infectious illness. OBJECTIVE: To assess preventive effects of meditation and exercise on acute respiratory infection (ARI) illness. DESIGN: Randomized controlled prevention trial with three parallel groups. SETTING: Madison, Wisconsin, USA. PARTICIPANTS: Community-recruited adults who did not regularly exercise or meditate. METHODS: 1) 8-week behavioral training in mindfulness-based stress reduction (MBSR); 2) matched 8-week training in moderate intensity sustained exercise (EX); or 3) observational waitlist control. Training classes occurred in September and October, with weekly ARI surveillance through May. Incidence, duration, and area-under-curve ARI global severity were measured using daily reports on the WURSS-24 during ARI illness. Viruses were identified multiplex PCR. Absenteeism, health care utilization, and psychosocial health self-report assessments were also employed. RESULTS: Of 413 participants randomized, 390 completed the trial. In the MBSR group, 74 experienced 112 ARI episodes with 1045 days of ARI illness. Among exercisers, 84 had 120 episodes totaling 1010 illness days. Eighty-two of the controls had 134 episodes with 1210 days of ARI illness. Mean global severity was 315 for MBSR (95% confidence interval 244, 386), 256 (193, 318) for EX, and 336 (268, 403) for controls. A prespecified multivariate zero-inflated regression model suggested reduced incidence for MBSR (p = 0.036) and lower global severity for EX (p = 0.042), compared to control, not quite attaining the p<0.025 prespecified cut-off for null hypothesis rejection. There were 73 ARI-related missed-work days and 22 ARI-related health care visits in the MBSR group, 82 days and 21 visits for exercisers, and 105 days and 24 visits among controls. Viruses were identified in 63 ARI episodes in the MBSR group, compared to 64 for EX and 72 for control. Statistically significant (p<0.05) improvements in general mental health, self-efficacy, mindful attention, sleep quality, perceived stress, and depressive symptoms were observed in the MBSR and/or EX groups, compared to control. CONCLUSIONS: Training in mindfulness meditation or exercise may help protect against ARI illness. LIMITATIONS: This trial was likely underpowered. TRIAL REGISTRATION: Clinicaltrials.gov NCT01654289","A prespecified multivariate zero-inflated regression model suggested reduced incidence for MBSR (p = 0.036) and lower global severity for EX (p = 0.042), compared to control, not quite attaining the p<0.025 prespecified cut-off for null hypothesis rejection.","['A_prespecified_multivariate_zero-inflated_regression_model', 'suggested', 'reduced_incidence', 'for', 'MBSR', '(', 'p', '=', '0.036', ')', 'and', 'lower_global_severity', 'for', 'EX', '(', 'p', '=', '0.042', ')', ',', 'compared', 'to', 'control', ',', 'not', 'quite', 'attaining', 'the_p<0.025_prespecified_cut-off', 'for', 'null_hypothesis_rejection', '.']","A_prespecified_multivariate_zero-inflated_regression_model suggested reduced_incidence for MBSR ( p = 0.036 ) and lower_global_severity for EX ( p = 0.042 ) , compared to control , not quite attaining the_p<0.025_prespecified_cut-off for null_hypothesis_rejection .","['A_prespecified_multivariate_zero-inflated_regression_model', 'reduced_incidence', 'MBSR', 'p', 'lower_global_severity', 'EX', 'p', 'control', 'the_p<0.025_prespecified_cut-off', 'null_hypothesis_rejection']"
"CLEC4M is a C-type lectin gene serving as cell adhesion receptor and pathogen recognition receptor. It recognizes several pathogens of important public health concern. In particular, a highly polymorphic variable number tandem repeat (VNTR) at the neck-region of CLEC4M had been associated with genetic predisposition to some infectious diseases. To gain insight into the origin and evolution of this VNTR in CLEC4M, we studied 21 Africans, 20 Middle Easterns, 35 Europeans, 38 Asians, 13 Oceania, and 18 Americans (a total of 290 chromosomes) from the (Human Genome Diversity Panel) HGDP-CEPH panel; these samples covered most of alleles of this VNTR locus present in human populations. We identified a limited number of haplotypes among the basic repeat subunits that is 69 base pairs in length. Only 8 haplotypes were found. Their sequence identities were determined in the 290 chromosomes. VNTR alleles of different repeat length (from 4 to 9 repeats) were analyzed for composition and orientation of these subunits. Our results showed that the subunit configuration of the same repeat number of VNTR locus from different populations were, in fact, virtually identical. It implies that most of the VNTR alleles existed before dispersion of modern humans outside Africa. Further analyses indicate that the present diversity profile of this locus in worldwide populations is generated from the effect of migration of different tribes and neutral evolution. Our findings do not support the hypothesis that the origin of the VNTR alleles were arisen by independent (separate) mutation events and caused by differential allele advantage and natural selection as suggested by previous report based on SNP data.",Our findings do not support the hypothesis that the origin of the VNTR alleles were arisen by independent (separate) mutation events and caused by differential allele advantage and natural selection as suggested by previous report based on SNP data.,"['Our_findings', 'do', 'not', 'support', 'the_hypothesis', 'that', 'the_origin', 'of', 'the_VNTR_alleles', 'were', 'arisen', 'by', 'independent_(separate)_mutation_events', 'and', 'caused', 'by', 'differential_allele_advantage', 'and', 'natural_selection', 'as', 'suggested', 'by', 'previous_report', 'based', 'on', 'SNP_data', '.']",Our_findings do not support the_hypothesis that the_origin of the_VNTR_alleles were arisen by independent_(separate)_mutation_events and caused by differential_allele_advantage and natural_selection as suggested by previous_report based on SNP_data .,"['Our_findings', 'the_hypothesis', 'the_origin', 'the_VNTR_alleles', 'independent_(separate)_mutation_events', 'differential_allele_advantage', 'natural_selection', 'previous_report', 'SNP_data']"
"BACKGROUND: Increased bone marrow lipid deposition in steroid-associated osteonecrosis (ON) implies that abnormalities in fat metabolism play an important role in ON development. The increase in lipid deposition might be explained by elevated adipogenesis of marrow mesenchymal stem cells (MSCs). However, it remains unclear whether there is a close association between elevated adipogenesis and steroid-associated ON development. OBJECTIVE: The present study was designed to test the hypothesis that there might be a close association between elevated adipogenesis and steroid-associated ON development. METHODS: ON rabbit model was induced based on our established protocol. Dynamic-MRI was employed for local intra-osseous perfusion evaluation in bilateral femora. Two weeks after induction, bone marrow was harvested for evaluating the ability of adipogenic differentiation of marrow MSCs at both cellular and mRNA level involving adipogenesis-related gene peroxisome proliferator-activated receptor gamma2 (PPARγ2). The bilateral femora were dissected for examining marrow lipid deposition by quantifying fat cell number, fat cell size, lipid deposition area and ON lesions. For investigating association among adipogenesis, lipid deposition and perfusion function with regard to ON occurrence, the rabbits were divided into ON(+ )(with at least one ON lesion) group and ON(- )(without ON lesion) group. For investigating association among adipogenesis, lipid deposition and perfusion function with regard to ON extension, the ON(+ )rabbits were further divided into sub-single-lesion group (SON group: with one ON lesion) and sub-multiple-lesion group (MON group: with more than one ON lesion). RESULTS: Local intra-osseous perfusion index was found lower in either ON(+ )or MON group when compared to either ON(- )or SON group, whereas the marrow fat cells number and area were much larger in either ON(+ )or MON group as compared with ON(- )and SON group. The adipogenic differentiation ability of MSCs and PPARγ2 expression in either ON(+ )or MON group were elevated significantly as compared with either ON(- )or SON group. CONCLUSION: These findings support our hypothesis that there is a close association between elevated adipogenesis and steroid-associated osteonecrosis development.",The present study was designed to test the hypothesis that there might be a close association between elevated adipogenesis and steroid-associated ON development.,"['The_present_study', 'was', 'designed', 'to', 'test', 'the_hypothesis', 'that', 'there', 'might', 'be', 'a_close_association', 'between', 'elevated_adipogenesis', 'and', 'steroid-associated_ON_development', '.']",The_present_study was designed to test the_hypothesis that there might be a_close_association between elevated_adipogenesis and steroid-associated_ON_development .,"['The_present_study', 'the_hypothesis', 'a_close_association', 'elevated_adipogenesis', 'steroid-associated_ON_development']"
"Human coronavirus 229E (HCoV) has been recently recognized as a potential agent of nosocomial viral respiratory infections (NRVI) in high-risk infants. We have confirmed this as fact through the study of a 1-year period of HCoV outbreaks occurring during a prospective survey of NRVI in a paediatric and neonatal intensive care unit (PNICU) using new molecular techniques for HCoV detection. Nasal samples obtained at admission and weekly thereafter for all hospitalised children, as well as monthly nasal samples from staff, were analysed using immunofluorescence for respiratory syncitial virus (RSV), influenza viruses A and B, paramyxoviruses 1, 2, 3 and adenoviruses. RT-PCR was used for HCoV detection. During the year 1998, 43 HCoV-related NRVI were detected in 152 neonates (incidence 28.3%), and 7 HCoV-related NRVI were found in 92 children (incidence 7.6%). Three HCoV-related outbreaks were observed (February, August and December), associated with a high prevalence of HCoV infection in the staff. During the August outbreak, 50% to 78% of hospitalised neonates and children were infected. Seventy-five percent of hospitalised preterm neonates with a gestational age less than 32 weeks and 52.4% of staff members were infected. Risk factors for NRVI in neonates were birth weight, gestational age, ventilation, oxygenation and hospitalisation length. Ninety-two percent of infected preterm neonates were symptomatic, mainly with bradycardia and respiratory worsening. These data provide additional evidence for a possibly significant role of HCoV in NRVI in a PNICU. The role of staff or hospitalised children in spreading HCoV is hypothesised.",The role of staff or hospitalised children in spreading HCoV is hypothesised.,"['The_role', 'of', 'staff', 'or', 'hospitalised', 'children', 'in', 'spreading', 'HCoV', 'is', 'hypothesised', '.']",The_role of staff or hospitalised children in spreading HCoV is hypothesised .,"['The_role', 'staff', 'children', 'HCoV']"
"Abstract Objectives The role of bacteria in acute respiratory illnesses (ARI) of adults and interactions with viral infections is incompletely understood. This study tested the hypothesis that bacterial co-infection during ARI adds to airway inflammation and illness severity. Methods Two groups of 97 specimens each were randomly selected from multiplex-PCR identified virus-positive and virus-negative nasal specimens obtained from adults with new onset ARI, and 40 control specimens were collected from healthy adults. All specimens were analyzed for Haemophilus influenzae(HI), Moraxella catarrhalis(MC) and Streptococcus pneumoniae(SP) by quantitative-PCR. General linear models tested for relationships between respiratory pathogens, biomarkers (nasal wash neutrophils and CXCL8), and ARI-severity. Results Nasal specimens from adults with ARIs were more likely to contain bacteria (37% overall; HI = 28%, MC = 14%, SP = 7%) compared to specimens from healthy adults (5% overall; HI = 0%, MC = 2.5%, SP = 2.5%; p < 0.001). Among ARI specimens, bacteria were more likely to be detected among virus-negative specimens compared to virus-positive specimens (46% vs. 27%; p = 0.0046). The presence of bacteria was significantly associated with increased CXCL8 and neutrophils, but not increased symptoms. Conclusion Pathogenic bacteria were more often detected in virus-negative ARI, and also associated with increased inflammatory biomarkers. These findings suggest the possibility that bacteria may augment virus-induced ARI and contribute to airway inflammation.",This study tested the hypothesis that bacterial co-infection during ARI adds to airway inflammation and illness severity.,"['This_study', 'tested', 'the_hypothesis', 'that', 'bacterial_co-infection', 'during', 'ARI', 'adds', 'to', 'airway_inflammation', 'and', 'illness_severity', '.']",This_study tested the_hypothesis that bacterial_co-infection during ARI adds to airway_inflammation and illness_severity .,"['This_study', 'the_hypothesis', 'bacterial_co-infection', 'ARI', 'airway_inflammation', 'illness_severity']"
"BACKGROUND: Neonatal diarrhoea is a frequent clinical condition in commercial swine herds, previously regarded to be uncomplicated to treat. However, since 2008 it seems that a new neonatal diarrhoeic syndrome unresponsive to antibiotics and common management practices has emerged. Routine laboratory examinations have not detected any pathogen related to this syndrome. The primary purpose of this study was to evaluate if well-known enteric pathogens could be associated with outbreaks of neonatal diarrhoea, thus question the hypotheses of a new syndrome. Furthermore, we wanted to evaluate macroscopic and microscopic findings associated with these outbreaks and if possible propose a preliminary piglet-level case-definition on syndrome New Neonatal Porcine Diarrhoea syndrome (NNPDS). RESULTS: Four well-managed herds experiencing neonatal diarrhoea with no previously established laboratory conclusion and suspected to suffer from New Neonatal Porcine Diarrhoea Syndrome, were selected. Within these herds, 51 diarrhoeic and 50 non-diarrhoeic piglets at the age of three to seven days were necropsied and subjected to histological and microbiological examination. Faeces were non-haemorrhagic. Neither enterotoxigenic E. coli, Clostridium perfringens type A or C, Clostridium difficile, rotavirus, coronavirus, Cryptosporidium spp, Giardia spp, Cystoisospora suis nor Strongyloides ransomi were associated with diarrhoea in the investigated outbreaks. Macroscopically, the diarrhoeic piglets were characterized by filled stomachs and flaccid intestines without mucosal changes. The predominant histological lesions were villous atrophy in jejunum and ileum. Epithelial lesions in colon were seen in one third of the case piglets. CONCLUSIONS: The results of the study supported the hypothesis that a new neonatal porcine diarrhoea was present in the investigated herds, since no known pathogen(s) or management factors could explain the diarrhoeal outbreaks. Based on the findings in the four herds the following case-definition of NNPDS was suggested: Non-haemorrhagic diarrhoea during the first week of life, without detection of known infectious pathogens, characterized by milk-filled stomachs and flaccid intestines at necropsy.","The primary purpose of this study was to evaluate if well-known enteric pathogens could be associated with outbreaks of neonatal diarrhoea, thus question the hypotheses of a new syndrome.","['The_primary_purpose', 'of', 'this_study', 'was', 'to', 'evaluate', 'if', 'well-known_enteric_pathogens', 'could', 'be', 'associated', 'with', 'outbreaks', 'of', 'neonatal_diarrhoea', ',', 'thus', 'question', 'the_hypotheses', 'of', 'a_new_syndrome', '.']","The_primary_purpose of this_study was to evaluate if well-known_enteric_pathogens could be associated with outbreaks of neonatal_diarrhoea , thus question the_hypotheses of a_new_syndrome .","['The_primary_purpose', 'this_study', 'well-known_enteric_pathogens', 'outbreaks', 'neonatal_diarrhoea', 'a_new_syndrome']"
"BACKGROUND: Chlamydiae induce persistent infections, which have been associated with a wide range of chronic diseases in humans and animals. Mixed infections with Chlamydia and porcine epidemic diarrhea virus (PEDV) may result in generation of persistent chlamydial infections. To test this hypothesis, an in vitro model of dual infection with cell culture-adapted PEDV and Chlamydia abortus or Chlamydia pecorum in Vero cells was established. RESULTS: Infected cultures were investigated by immunofluorescence (IF), transmission electron microscopy (TEM) and re-infection experiments. By IF, Chlamydia-infected cells showed normal inclusions after 39 hpi. Dual infections with Chlamydia abortus revealed a heterogenous mix of inclusion types including small inclusions consisting of aberrant bodies (ABs), medium-sized inclusions consisting of ABs and reticulate bodies and normal inclusions. Only aberrant inclusions were observable in dual infection experiments with Chlamydia pecorum and PEDV. TEM examinations of mixed infections with Chlamydia abortus and Chlamydia pecorum revealed aberrant chlamydial inclusions containing reticulate-like, pleomorphic ABs, which were up to 2 μm in diameter. No re-differentiation into elementary bodies (EBs) was detected. In re-infection experiments, co-infected cells produced fewer EBs than monoinfected cells. CONCLUSIONS: In the present study we confirm that PEDV co-infection alters the developmental cycle of member species of the family Chlamydiaceae, in a similar manner to other well-described persistence induction methods. Interestingly, this effect appears to be partially species-specific as Chlamydia pecorum appears more sensitive to PEDV co-infection than Chlamydia abortus, as evidenced by TEM and IF observations of a homogenous population of aberrant inclusions in PEDV - Chlamydia pecorum co-infections.","To test this hypothesis, an in vitro model of dual infection with cell culture-adapted PEDV and Chlamydia abortus or Chlamydia pecorum in Vero cells was established.","['To', 'test', 'this_hypothesis', ',', 'an_in_vitro_model', 'of', 'dual_infection', 'with', 'cell_culture-adapted_PEDV', 'and', 'Chlamydia_abortus', 'or', 'Chlamydia_pecorum', 'in', 'Vero_cells', 'was', 'established', '.']","To test this_hypothesis , an_in_vitro_model of dual_infection with cell_culture-adapted_PEDV and Chlamydia_abortus or Chlamydia_pecorum in Vero_cells was established .","['an_in_vitro_model', 'dual_infection', 'cell_culture-adapted_PEDV', 'Chlamydia_abortus', 'Chlamydia_pecorum', 'Vero_cells']"
"BACKGROUND: The current standard care therapy for hepatitis C virus (HCV) infection consists of two regimes, namely interferon-based and interferon-free treatments. The treatment through the combination of ribavirin and pegylated interferon is expensive, only mildly effective, and is associated with severe side effects. In 2011, two direct-acting antiviral (DAA) drugs, boceprevir and telaprevir, were licensed that have shown enhanced sustained virologic response (SVR) in phase III clinical trial, however, these interferon-free treatments are more sensitive to HCV genotype 1 infection. The variable nature of HCV, and the limited number of inhibitors developed thus aim in expanding the repertoire of available drug targets, resulting in targeting the virus assembly therapeutically. AIM: We conducted this study to predict the 3D structure of the p7 protein from the HCV genotypes 3 and 4. Approximately 63 amino acid residues encoded in HCV render this channel sensitive to inhibitors, making p7 a promising target for novel therapies. HCV p7 protein forms a small membrane known as viroporin, and is essential for effective self-assembly of large channels that conduct cation assembly and discharge infectious virion particles. METHOD: In this study, we screened drugs and flavonoids known to disrupt translation and production of HCV proteins, targeted against the active site of p7 residues of HCV genotype 3 (GT3) (isolatek3a) and HCV genotype 4a (GT4) (isolateED43). Furthermore, we conducted a quantitative structure–activity relationship and docking interaction study. RESULTS: The drug NB-DNJ formed the highest number of hydrogen bond interactions with both modeled p7 proteins with high interaction energy, followed by BIT225. A flavonoid screen demonstrated that Epigallocatechin gallate (EGCG), nobiletin, and quercetin, have more binding modes in GT3 than in GT4. Thus, the predicted p7 protein molecule of HCV from GT3 and GT4 provides a general avenue to target structure-based antiviral compounds. CONCLUSIONS: We hypothesize that the inhibitors of viral p7 identified in this screen may be a new class of potent agents, but further confirmation in vitro and in vivo is essential. This structure-guided drug design for both GT3 and GT4 can lead to the identification of drug-like natural compounds, confirming p7 as a new target in the rapidly increasing era of HCV.","We hypothesize that the inhibitors of viral p7 identified in this screen may be a new class of potent agents, but further confirmation in vitro and in vivo is essential.","['We', 'hypothesize', 'that', 'the_inhibitors', 'of', 'viral_p7', 'identified', 'in', 'this_screen', 'may', 'be', 'a_new_class', 'of', 'potent_agents', ',', 'but', 'further_confirmation', 'in', 'vitro', 'and', 'in', 'vivo', 'is', 'essential', '.']","We hypothesize that the_inhibitors of viral_p7 identified in this_screen may be a_new_class of potent_agents , but further_confirmation in vitro and in vivo is essential .","['the_inhibitors', 'viral_p7', 'a_new_class', 'potent_agents', 'further_confirmation', 'vitro', 'vivo']"
"Paramyxovirus infections can be detected worldwide with some emerging zoonotic viruses and currently there are no specific therapeutic treatments or vaccines available for many of these diseases. Recent studies have demonstrated that peptides derived from the two heptad repeat regions (HR1 and HR2) of paramyxovirus fusion proteins could be used as inhibitors of virus fusion. The mechanism underlying this activity is in accordance with that of class I virus fusion proteins, of which human immunodeficiency virus (HIV) and influenza virus fusion proteins are members. For class I virus fusion proteins, the HR1 fragment binds to HR2 to form a six-helix bundle with three HR1 fragments forming the central coiled bundle surrounded by three coiled HR2 fragments in the post fusion conformational state (fusion core). It is hypothesized that the introduced exogenous HR1 or HR2 can compete against their endogenous counterparts, which results in fusion inhibition. Using Newcastle disease virus (NDV) as a model, we designed several protein inhibitors, denoted HR212 as well asHR121 and 5-Helix, which could bind the HR1 or HR2 region of fusion protein, respectively. All the proteins were expressed and purified using a GST-fusion expression system in Escherichia coli. The HR212 or GST-HR212 protein, which binds the HR1 peptide in vitro, displayed inhibitory activity against NDV-mediated cell fusion, while the HR121 and 5-Helix proteins, which bind the HR2 peptide in vitro, inhibited virus fusion from the avirulent NDV strain when added before the cleavage of the fusion protein. These results showed that the designed HR212, HR121 or 5-Helix protein could serve as specific antiviral agents. These data provide additional insight into the difference between the virulent and avirulent strains of NDV.","It is hypothesized that the introduced exogenous HR1 or HR2 can compete against their endogenous counterparts, which results in fusion inhibition.","['It', 'is', 'hypothesized', 'that', 'the_introduced_exogenous_HR1', 'or', 'HR2', 'can', 'compete', 'against', 'their_endogenous_counterparts', ',', 'which', 'results', 'in', 'fusion_inhibition', '.']","It is hypothesized that the_introduced_exogenous_HR1 or HR2 can compete against their_endogenous_counterparts , which results in fusion_inhibition .","['the_introduced_exogenous_HR1', 'HR2', 'their_endogenous_counterparts', 'fusion_inhibition']"
"Many viruses have been implicated in utilizing or modulating the Ubiquitin Proteasome System (UPS) to enhance viral multiplication and/or to sustain a persistent infection. The mosquito-borne Venezuelan equine encephalitis virus (VEEV) belongs to the Togaviridae family and is an important biodefense pathogen and select agent. There are currently no approved vaccines or therapies for VEEV infections; therefore, it is imperative to identify novel targets for therapeutic development. We hypothesized that a functional UPS is required for efficient VEEV multiplication. We have shown that at non-toxic concentrations Bortezomib, a FDA-approved inhibitor of the proteasome, proved to be a potent inhibitor of VEEV multiplication in the human astrocytoma cell line U87MG. Bortezomib inhibited the virulent Trinidad donkey (TrD) strain and the attenuated TC-83 strain of VEEV. Additional studies with virulent strains of Eastern equine encephalitis virus (EEEV) and Western equine encephalitis virus (WEEV) demonstrated that Bortezomib is a broad spectrum inhibitor of the New World alphaviruses. Time-of-addition assays showed that Bortezomib was an effective inhibitor of viral multiplication even when the drug was introduced many hours post exposure to the virus. Mass spectrometry analyses indicated that the VEEV capsid protein is ubiquitinated in infected cells, which was validated by confocal microscopy and immunoprecipitation assays. Subsequent studies revealed that capsid is ubiquitinated on K48 during early stages of infection which was affected by Bortezomib treatment. This study will aid future investigations in identifying host proteins as potential broad spectrum therapeutic targets for treating alphavirus infections.",We hypothesized that a functional UPS is required for efficient VEEV multiplication.,"['We', 'hypothesized', 'that', 'a_functional_UPS', 'is', 'required', 'for', 'efficient_VEEV_multiplication', '.']",We hypothesized that a_functional_UPS is required for efficient_VEEV_multiplication .,"['a_functional_UPS', 'efficient_VEEV_multiplication']"
"Since the identification and imprisonment of “Typhoid Mary,” a woman who infected at least 47 people with typhoid in the early 1900s, epidemiologists have recognized that ‘superspreading’ hosts play a key role in disease epidemics. Such variability in transmission also exists among species within a community (amplification hosts) and among habitat patches across a landscape (disease ‘hotspots’), underscoring the need for an integrative framework for studying transmission heterogeneity. Here, we synthesize literature on human, plant, and animal diseases to evaluate the relative contributions of host, pathogen, and environmental factors in driving transmission heterogeneity across hosts and space. We show that host and spatial heterogeneity are closely linked and that quantitatively assessing the contribution of infectious individuals, species, or environmental patches to overall transmission can aid management strategies. We conclude by posing hypotheses regarding how pathogen natural history influences transmission heterogeneity and highlight emerging frontiers in the study of transmission heterogeneity.",We conclude by posing hypotheses regarding how pathogen natural history influences transmission heterogeneity and highlight emerging frontiers in the study of transmission heterogeneity.,"['We', 'conclude', 'by', 'posing', 'hypotheses', 'regarding', 'how', 'pathogen', 'natural_history', 'influences', 'transmission_heterogeneity', 'and', 'highlight', 'emerging_frontiers', 'in', 'the_study', 'of', 'transmission_heterogeneity', '.']",We conclude by posing hypotheses regarding how pathogen natural_history influences transmission_heterogeneity and highlight emerging_frontiers in the_study of transmission_heterogeneity .,"['hypotheses', 'pathogen natural_history', 'transmission_heterogeneity and highlight emerging_frontiers', 'the_study', 'transmission_heterogeneity']"
"The exact role of CD8(+) T cells during Mycobacterium tuberculosis (Mtb) infection has been heavily debated, yet it is generally accepted that CD8(+) T cells contribute to protection against Mtb. In this study, however, we show that the Mtb-susceptible CBA/J mouse strain accumulates large numbers of CD8(+) T cells in the lung as infection progresses, and that these cells display a dysfunctional and immunosuppressive phenotype (PD-1(+), Tim-3(+), CD122(+)). CD8(+) T cell expansions from the lungs of Mtb-infected CBA/J mice were also capable of secreting the immunosuppressive cytokine interleukin-10 (IL-10), although in vivo CD8(+) T cell depletion did not significantly alter Mtb burden. Further analysis revealed that pulmonary CD8(+) T cells from Mtb-infected CBA/J mice were clonally expanded, preferentially expressing T cell receptor (TcR) Vβ chain 8 (8.2, 8.3) or Vβ 14. Although Vβ8(+) CD8(+) T cells were responsible for the majority of IL-10 production, in vivo depletion of Vβ8(+) did not significantly change the outcome of Mtb infection, which we hypothesize was a consequence of their dual IL-10/IFN-γ secreting profiles. Our data demonstrate that IL-10-secreting CD8(+) T cells can arise during chronic Mtb infection, although the significance of this T cell population in tuberculosis pathogenesis remains unclear.","did not significantly change the outcome of Mtb infection, which we hypothesize was a consequence of their dual IL-10/IFN-γ secreting profiles.","['did', 'not', 'significantly', 'change', 'the_outcome', 'of', 'Mtb_infection', ',', 'which', 'we', 'hypothesize', 'was', 'a_consequence', 'of', 'their_dual_IL-10/IFN-γ_secreting_profiles', '.']","did not significantly change the_outcome of Mtb_infection , which we hypothesize was a_consequence of their_dual_IL-10/IFN-γ_secreting_profiles .","['the_outcome', 'Mtb_infection', 'a_consequence', 'their_dual_IL-10', 'IFN-γ_secreting_profiles']"
"The intraspecies genomic diversity of the single‐strand RNA (+) virus species hepatitis A virus (Hepatovirus), hepatitis C virus (Hepacivirus), and hepatitis E virus (Orthohepevirus) was compared. These viral species all can cause liver inflammation (hepatitis), but share no gene similarity. The codon usage of human hepatitis A virus (HAV) is suboptimal for replication in its host, a characteristic it shares with taxonomically related rodent, simian, and bat hepatitis A virus species. We found this codon usage to be strikingly similar to that of Triatoma virus that infects blood‐sucking kissing bugs. The codon usage of that virus is well adapted to its insect host. The codon usage of HAV is also similar to other invertebrate viruses of various taxonomic families. An evolutionary ancestor of HAV and related virus species is hypothesized to be an insect virus that underwent a host jump to infect mammals. The similarity between HAV and invertebrate viruses goes beyond codon usage, as they also share amino acid composition characteristics, while not sharing direct sequence homology. In contrast, hepatitis C virus and hepatitis E virus are highly similar in codon usage preference, nucleotide composition, and amino acid composition, and share these characteristics with Human pegivirus A, West Nile virus, and Zika virus. We present evidence that these observations are only partly explained by differences in nucleotide composition of the complete viral codon regions. We consider the combination of nucleotide composition, amino acid composition, and codon usage preference suitable to provide information on possible evolutionary similarities between distant virus species that cannot be investigated by phylogeny.",An evolutionary ancestor of HAV and related virus species is hypothesized to be an insect virus that underwent a host jump to infect mammals.,"['An_evolutionary_ancestor', 'of', 'HAV', 'and', 'related_virus_species', 'is', 'hypothesized', 'to', 'be', 'an_insect_virus', 'that', 'underwent', 'a_host_jump', 'to', 'infect', 'mammals', '.']",An_evolutionary_ancestor of HAV and related_virus_species is hypothesized to be an_insect_virus that underwent a_host_jump to infect mammals .,"['An_evolutionary_ancestor', 'HAV', 'related_virus_species', 'an_insect_virus', 'mammals']"
"Ferroquine (FQ, SSR97193) is currently the most advanced organometallic drug candidate and about to complete phase II clinical trials as a treatment for uncomplicated malaria. This ferrocenecontaining compound is active against both chloroquine-susceptible and chloroquine-resistant Plasmodium falciparum and P. vivax strains and/or isolates. This article focuses on the discovery of FQ, its antimalarial activity, the hypothesis of its mode of action, the current absence of resistance in vitro and recent clinical trials.","This article focuses on the discovery of FQ, its antimalarial activity, the hypothesis of its mode of action, the current absence of resistance in vitro and recent clinical trials.","['This_article', 'focuses', 'on', 'the_discovery', 'of', 'FQ', ',', 'its_antimalarial_activity', ',', 'the_hypothesis', 'of', 'its_mode', 'of', 'action', ',', 'the_current_absence', 'of', 'resistance', 'in', 'vitro', 'and', 'recent_clinical_trials', '.']","This_article focuses on the_discovery of FQ , its_antimalarial_activity , the_hypothesis of its_mode of action , the_current_absence of resistance in vitro and recent_clinical_trials .","['This_article', 'the_discovery', 'FQ', 'its_antimalarial_activity', 'the_hypothesis', 'its_mode', 'action', 'the_current_absence', 'resistance', 'vitro', 'recent_clinical_trials']"
"An epidemic of severe acute respiratory syndrome (SARS) began in Foshan municipality, Guangdong Province, China, in November 2002. We studied SARS case reports through April 30, 2003, including data from case investigations and a case series analysis of index cases. A total of 1,454 clinically confirmed cases (and 55 deaths) occurred; the epidemic peak was in the first week of February 2003. Healthcare workers accounted for 24% of cases. Clinical signs and symptoms differed between children (<18 years) and older persons (>65 years). Several observations support the hypothesis of a wild animal origin for SARS. Cases apparently occurred independently in at least five different municipalities; early case-patients were more likely than later patients to report living near a produce market (odds ratio undefined; lower 95% confidence interval 2.39) but not near a farm; and 9 (39%) of 23 early patients, including 6 who lived or worked in Foshan, were food handlers with probable animal contact.",Several observations support the hypothesis of a wild animal origin for SARS.,"['Several_observations', 'support', 'the_hypothesis', 'of', 'a_wild_animal_origin', 'for', 'SARS', '.']",Several_observations support the_hypothesis of a_wild_animal_origin for SARS .,"['Several_observations', 'the_hypothesis', 'a_wild_animal_origin', 'SARS']"
